4510;Equipo;Equipo durante el período seleccionado;Posición específica;Edad;Valor de mercado (Transfermarkt);Vencimiento contrato;Partidos jugados;Minutos jugados;Goles;xG;Asistencias;xA;Duelos/90;Duelos ganados, %;País de nacimiento;Pasaporte;Pie;Altura;Peso;En prestamo;Acciones defensivas realizadas/90;Duelos defensivos/90;Duelos defensivos ganados, %;Duelos aéreos en los 90;Duelos aéreos ganados, %;Entradas/90;Posesión conquistada después de una entrada;Tiros interceptados/90;Interceptaciones/90;Posesión conquistada después de una interceptación;Faltas/90;Tarjetas amarillas;Tarjetas amarillas/90;Tarjetas rojas;Tarjetas rojas/90;Acciones de ataque exitosas/90;Goles/90;Goles (excepto los penaltis);Goles, excepto los penaltis/90;xG/90;Goles de cabeza;Goles de cabeza/90;Remates;Remates/90;Tiros a la portería, %;Goles hechos, %;Asistencias/90;Centros/90;Precisión centros, %;Centros desde la banda izquierda/90;Precisión centros desde la banda izquierda, %;Centros desde la banda derecha/90;Precisión centros desde la banda derecha, %;Centros al área pequeña/90;Regates/90;Regates realizados, %;Duelos atacantes/90;Duelos atacantes ganados, %;Toques en el área de penalti/90;Carreras en progresión/90;Aceleraciones/90;Pases largos recibidos/90;Faltas recibidas/90;Pases/90;Precisión pases, %;Pases hacia adelante/90;Precisión pases hacia adelante, %;Pases hacia atrás/90;Precision pases hacia atrás, %;Pases laterales/90;Precisión pases laterales, %;Pases cortos / medios /90;Precisión pases cortos / medios, %;Pases largos/90;Precisión pases largos, %;Longitud media pases, m;Longitud media pases largos, m;xA/90;Asistencias/90;Second assists/90;Third assists/90;Desmarques/90;Precisión desmarques, %;Jugadas claves/90;Pases en el último tercio/90;Precisión pases en el último tercio, %;Pases al área de penalti/90;Pases hacía el área pequeña, %;Pases en profundidad/90;Precisión pases en profundidad, %;Ataque en profundidad/90;Centros desde el último tercio/90;Pases progresivos/90;Precisión pases progresivos, %;Tiros libres/90;Tiros libres directos/90;Tiros libres directos, %;Córneres/90;Penaltis a favor;Penaltis realizados, %
A. Celli;Catania;Catania;LCB, LWB, LB;30;275000;2025-06-30;19;1227;1;0,51;0;0,87;14,01;58,12;Italy;Italy;izquierdo;182;76;no;7,56;4,91;64,18;1,98;55,56;0;0;0,29;4,4;5,59;0,95;3;0,22;0;0;2,13;0,07;1;0,07;0,04;0;0;10;0,73;20;10;0;2,27;25,81;2,27;25,81;0;0;0,29;2,13;65,52;5,06;52,17;0,29;0,95;0,44;0,81;0,81;39,17;76,78;17,82;70,78;2,86;92,31;13,72;82,89;28,97;88,35;8;48,62;22,81;32,38;0,06;0,51;0;0;0,07;0;0,15;7,48;60,78;2,64;38,89;1,03;35,71;0,44;0,59;9,24;74,6;0,15;0,07;0;0;0;0
M. Neubauer;Elversberg;Elversberg;LB, LWB;27;275000;2025-06-30;21;2101;2;1,27;1;1,78;13,49;55,24;Germany;Germany;izquierdo;178;72;no;9,38;7,11;62,05;2,1;34,69;0,26;0,32;0,3;4,71;5,91;0,99;3;0,13;0;0;1,88;0,09;2;0,09;0,05;1;0,04;21;0,9;38,1;9,524;0,04;2,36;34,55;2,36;34,55;0;0;0,21;1,46;50;2,7;52,38;1,16;2,06;0,77;2,36;0,6;40,18;78,57;15,55;68,87;8,52;94,97;9,94;81,9;32,13;86,8;5,83;49,26;19,49;37,22;0,08;0,51;0,04;0,09;0,17;0;0,3;4,71;64,55;2,83;45,45;0,81;15,79;0,6;0,86;8,91;63,94;0,04;0;0;0;0;0
B. van Hintum;ADO Den Haag;ADO Den Haag;LB, RCB, LCB;37;275000;2024-06-30;23;1998;0;0,04;1;1,67;11,49;62,75;Netherlands;Netherlands;izquierdo;177;76;no;10,18;6,53;67,59;2,39;56,6;0,36;0,46;0,45;5,41;6,94;0,81;5;0,23;0;0;0,63;0;0;0;0;0;0;3;0,14;0;0;0,05;1,35;30;1,31;27,59;0;0;0,18;0,32;71,43;0,63;50;0,27;0,9;0,09;0,9;0,27;46,89;81,46;19,95;71,56;3,92;91,95;19,19;90,61;38,56;88,55;7,07;52,23;23,97;38,18;0,08;0,72;0,14;0;0;0;0,23;8,42;64,71;1,8;47,5;0,5;36,36;0,59;0,36;11,35;76,59;0,23;0;0;0,41;0;0
P. Adorno;Tigre;Tigre;LCB, LB;28;275000;2024-12-31;25;2090;0;1,01;0;0,02;16,41;58,79;Paraguay;Paraguay;izquierdo;184;80;no;9,69;6,33;68,71;5,12;52,1;0,6;0,93;0,47;4,74;7,28;1,03;7;0,3;0;0;0,65;0;0;0;0,04;0;0;9;0,39;22,22;0;0;0,17;50;0,17;50;0;0;0;0,82;52,63;2,33;44,44;0,43;0,65;0,13;0,43;0,26;28,77;79,34;15,5;71,39;1,21;96,43;10,03;89,27;21,53;86,2;7,06;59,15;24,51;35,28;0;0,04;0;0;0,04;100;0;5,64;64,89;0,65;46,67;0,56;53,85;0,26;0,09;8,48;75,63;0,04;0;0;0;0;0
C. Brackelmann;Paderborn II;Paderborn II;LB, LCB;24;275000;2024-06-30;13;828;1;1,1;1;0,37;19,67;72,38;Germany;Germany;izquierdo;196;86;no;13,8;8,7;78,75;4,57;71,43;0,54;0,75;0,22;6,41;8,85;0,43;0;0;0;0;1,41;0,11;1;0,11;0,12;1;0,11;8;0,87;50;12,5;0,11;1,52;35,71;1,3;33,33;0,22;50;0,33;0,33;100;2,72;48;1,2;0,87;0,33;1,3;1,3;48,15;75,62;23,04;65,57;4,24;92,31;17,17;86,71;36,41;83,58;10,22;53,19;23,66;36,02;0,04;0,43;0;0;0,22;50;0,33;9,67;56,18;2,5;34,78;1,3;41,67;0,76;0,54;13,48;74,19;0;0;0;0;0;0
J. Scherzer;Wolfsberger AC;Wolfsberger AC;LB, LWB, LCB;28;250000;2024-06-30;20;1951;0;0,78;0;2,14;17,46;57,89;Austria;Austria;izquierdo;185;76;no;8,75;5,56;59,13;4,5;69,89;0,58;0,82;0,24;4,88;6,87;0,77;3;0,14;0;0;2,51;0;0;0;0,04;0;0;9;0,44;22,22;0;0;2,18;33,33;1,84;28,95;0,34;57,14;0,63;2,85;57,63;4,35;52,22;0,73;2,03;0,48;1,45;0,53;40,33;76,38;16,35;65,38;5,27;92,66;12,19;80,56;33,22;84,57;4,98;40,78;19,39;33,95;0,1;0,97;0,05;0,1;0,29;16,67;0,29;6,14;62,99;3;33,87;0,68;21,43;0,53;0,77;8,66;67,6;1,4;0;0;2,85;0;0
B. Diallo;Austria Lustenau;Austria Lustenau;LB, LWB;22;250000;2024-06-30;16;1238;0;0,41;0;0,23;17,74;53,69;France;France, Senegal;izquierdo;176;73;si;8,36;5,82;58,75;3,56;51,02;0,07;0,09;0,44;4,87;6,02;1,24;3;0,22;1;0,07;2,54;0;0;0;0,03;0;0;8;0,58;25;0;0;2,18;20;2,18;20;0;0;0,29;2,69;72,97;5,89;54,32;0,36;1,31;1,38;1,74;1,45;30,1;64,98;14,76;55,17;4,87;89,55;7,34;64,36;23,12;77,04;5,09;28,57;20,44;35,01;0,02;0,44;0;0;0;0;0,15;5,38;48,65;2,25;16,13;0,44;16,67;0,07;0,58;6,76;50,54;0,22;0,07;100;0,07;0;0
N. Mileti?;Javor Ivanjica;Javor Ivanjica;LB;32;250000;2025-01-15;18;1666;0;0,43;1;1,19;15,5;44,95;Serbia;Serbia;izquierdo;190;80;no;8,16;5,78;52,34;2,86;26,42;0,05;0,06;0,32;5,08;6,06;1,13;2;0,11;0;0;2,54;0;0;0;0,02;0;0;14;0,76;35,71;0;0,05;2,38;31,82;2,38;31,82;0;0;0,38;2,48;58,7;4,59;48,24;0,38;1,46;0,65;1,03;1,13;28,42;70,72;15,07;65,95;3,46;93,75;6,81;72,22;20,69;80,42;5,51;50;21,6;31,49;0,06;0,32;0;0,05;0,22;25;0,11;5,56;68,93;2,11;43,59;0,32;16,67;0,27;0,65;8,16;70,86;0,43;0,16;0;0;0;0
A. Castillo;Huachipato;Huachipato;LB;25;250000;2024-12-31;25;1580;1;0,57;4;3,73;18,97;55,56;Chile;Chile;izquierdo;175;74;no;10,37;8,54;68;2,68;55,32;0,23;0,36;0,06;4,33;6,89;1,03;1;0,06;0;0;2,85;0,06;1;0,06;0,03;0;0;16;0,91;18,75;6,25;0,23;3,08;33,33;3,08;33,33;0;0;0,17;2,62;58,7;4,67;53,66;0,57;1,54;0,4;2,68;0,17;38,91;77,45;14,41;68,38;5,81;94,12;13,67;80,42;30,99;85,11;5,13;54,44;19,43;30,56;0,21;1,25;0,11;0,11;0,28;40;0,74;5,35;68,09;3,13;47,27;0,4;42,86;0,74;0,91;9,46;68,67;0,23;0,17;66,67;0,85;0;0
K. Lewis;Danubio;Danubio;LB, LCMF, LWB;25;250000;2024-12-31;37;3330;1;0,69;3;2,25;13,81;53,23;Uruguay;Uruguay;izquierdo;173;72;no;9,49;5,73;65,57;2,84;54,29;1,03;1,42;0,11;4,7;6,52;0,7;11;0,3;0;0;0,95;0,03;1;0,03;0,02;0;0;13;0,35;30,77;7,692;0,08;1,24;39,13;1,24;39,13;0;0;0,22;0,68;52;2,76;33,33;0,41;0,59;0,35;1,03;0,54;36,54;77,74;17,54;70,88;4,43;94,51;10,43;84,2;29,14;84,79;6,27;52,16;20,85;37,23;0,06;0,35;0;0;0,03;0;0,22;7,03;69,23;1,49;43,64;0,14;40;0,19;0,43;10;72,16;0,05;0;0;0;0;0
M. Martinaga;Slaven Belupo;Slaven Belupo;LB;25;250000;2024-06-15;8;664;0;0,06;1;0,76;16,54;50;Croatia;Croatia;izquierdo;184;73;no;12,61;8,67;50;2,44;55,56;0,41;0,44;0,27;7,86;8,57;0,68;3;0,41;0;0;2,3;0;0;0;0,01;0;0;2;0,27;0;0;0,14;2,71;45;2,71;45;0;0;0,27;1,63;66,67;2,58;52,63;0,14;0,68;0,27;0,68;0;38,22;73,05;19,38;70,63;5,15;84,21;8,54;74,6;25,48;82,98;10,3;56,58;20,91;35,31;0,1;1,08;0;0;0;0;0,54;8;59,32;2,58;47,37;0,68;20;0,41;0,95;12,33;73,63;0,27;0;0;0,41;0;0
A. Caporale;Lecco;Lecco;LB, LCB;28;250000;2025-06-30;19;1899;1;2,11;2;2,12;13,08;54,71;Italy;Italy;izquierdo;190;82;no;7,82;4,74;56;3,7;58,97;0,05;0,06;0,28;5,12;6,42;0,76;4;0,19;0;0;1,9;0,05;1;0,05;0,1;0;0;13;0,62;38,46;7,692;0,09;2,61;32,73;2,61;32,73;0;0;0,33;1,04;72,73;3,03;48,44;1,23;1,04;0,47;2,13;0,57;38,34;71,82;18,53;63,68;3,7;91,03;11,61;78,37;25,45;83,99;10,57;51,12;24;38,84;0,1;0,43;0,05;0,05;0,09;50;0,28;6,73;54,93;2,7;42,11;0,76;37,5;0,52;1,04;11,42;64,73;0;0;0;0;0;0
S. Voet;Fortuna Sittard;Fortuna Sittard;LCB, LB;24;250000;2025-06-30;13;810;0;0,43;1;0,8;14,57;62,75;Belgium;Belgium;izquierdo;190;85;si;10;6,57;69,57;4,57;59,38;0,14;0,19;1,14;5,29;7,16;0,86;1;0,11;0;0;0,43;0;0;0;0,06;0;0;5;0,71;20;0;0,14;0,57;25;0,57;25;0;0;0;0,57;25;1,14;25;1,14;1,29;0;0;0,29;42,57;88,26;15,86;80,18;3,86;96,3;18,86;96,21;37,43;93,13;4,57;56,25;20,8;28,76;0,11;0,29;0;0,14;0,14;0;0,29;6,29;75;0,43;0;0,29;0;0,14;0,29;7;67,35;0,14;0;0;0;0;0
T. D'Orazio;Cosenza;Cosenza;LB;33;250000;2025-06-30;19;1475;0;1,09;0;0,2;17,82;49,66;Italy;Italy;izquierdo;185;78;no;8,54;6,71;57,27;3,23;54,72;0,12;0,17;0,37;4,58;6,43;1,04;9;0,55;0;0;1,89;0;0;0;0,07;0;0;11;0,67;27,27;0;0;2,5;36,59;2,5;36,59;0;0;0,24;1,83;43,33;4,76;42,31;0,98;1,04;0,55;2,2;1,28;34,78;78,25;15,44;71,94;4,52;86,49;10,07;82,42;26,97;86,88;5,43;53,93;19,61;32,96;0,01;0,31;0;0;0;0;0,12;5,49;76,67;2,68;36,36;0,24;0;0,37;0,85;8,18;74,63;0,18;0,06;0;0,31;0;0
L. Zuta;Brommapojkarna;Brommapojkarna;LB, LCB;31;250000;2024-12-31;20;1108;0;0,25;0;0,48;12,92;50,94;Sweden;Sweden, North Macedonia;izquierdo;183;72;no;6,34;5,77;57,75;3,9;43,75;0,49;0,63;0,49;2,52;3,25;0,97;3;0,24;0;0;0,65;0;0;0;0,02;0;0;5;0,41;60;0;0;1,14;14,29;0,97;16,67;0,16;0;0,08;0,32;25;1,14;42,86;0,49;0,81;0,32;1,06;0,73;45,57;88,06;15,76;80,41;5,69;98,57;18,52;90,79;40,94;92,46;3,49;60,47;18,7;29,43;0,04;0,24;0;0;0,16;100;0,16;5,28;73,85;2,03;40;0,57;28,57;0,65;0,16;6,58;82,72;0,32;0,16;50;1,3;0;0
L. Montoya;Central Córdoba SdE;Central Córdoba SdE;LB, LWB;29;250000;2024-12-31;21;1375;0;0,16;0;0,62;16,56;53,75;Argentina;Argentina, Spain;izquierdo;171;70;si;10,34;7,53;62,61;1,83;42,86;0,46;0,74;0,26;5,17;8,32;0,98;2;0,13;1;0,07;2,55;0;0;0;0,01;0;0;3;0,2;0;0;0;3,4;26,92;3,27;26;0,13;50;0,92;2,29;68,57;4,25;49,23;0,59;1,24;0,39;2,09;0,59;41,76;76,65;14,79;64,6;6,74;94,17;13,48;76,7;32,07;85,1;6,48;59,6;19,4;30;0,04;0,52;0;0;0,2;33,33;0,2;4,97;56,58;3,47;30,19;0,52;12,5;0,52;1,05;8,12;68,55;0,13;0;0;0,07;0;0
D. Herold;Karlsruher SC;Karlsruher SC;LB;20;250000;2024-06-30;15;529;0;0,04;0;0,21;16,33;55,21;Germany;Germany;izquierdo;185;77;si;9,7;6,98;68,29;1,7;50;0,17;0,22;0,34;4,76;6,09;0,51;0;0;0;0;2,72;0;0;0;0,01;0;0;2;0,34;50;0;0;3,74;40,91;3,57;38,1;0,17;100;0,51;1,7;50;4,76;35,71;0,68;0,68;0,68;2,04;1,02;36,24;78,87;11,4;67,16;9,02;98,11;10,04;81,36;29,94;87,5;2,72;37,5;18,53;13,83;0,04;0,51;0;0;0,17;100;0,17;3,23;57,89;2,89;52,94;0,17;0;0,68;1,19;7,66;64,44;0,68;0;0;2,72;0;0
S. Davì;Südtirol;Südtirol;LB;24;250000;2025-06-30;19;1736;0;0,03;3;1,74;18,25;59,09;Italy;Italy;izquierdo;178;73;no;11,56;10,78;66,83;1,87;58,33;0;0;0,31;4,35;4,93;1,61;5;0,26;0;0;1,76;0;0;0;0;0;0;2;0,1;0;0;0,16;1,66;40,63;1,66;40,63;0;0;0,41;1,87;55,56;4,25;48,78;0,52;1,04;0,62;1,4;1,24;34,37;80,09;15,6;70,43;5,5;95,28;8,66;86,83;28,05;86,69;4,87;55,32;18,85;29,74;0,09;0,36;0;0;0,16;33,33;0,26;4,15;62,5;1,56;56,67;0,52;70;0,57;0,57;7,83;70,86;0;0;0;0,05;0;0
Pablo Carbonell;Atlético Sanluqueño;Atlético Sanluqueño;LB;30;250000;2025-06-30;12;610;0;0,09;0;0,72;18,44;55,2;Spain;Spain;izquierdo;178;72;no;10,18;7,97;66,67;3,39;43,48;0,3;0,51;0,44;4,57;7,95;1,33;3;0,44;0;0;2,21;0;0;0;0,01;0;0;3;0,44;33,33;0;0;2,51;17,65;2,51;17,65;0;0;0,59;1,92;61,54;4,72;50;0,74;1,03;0,59;1,62;1,18;36,59;74,19;17,7;64,17;5,31;94,44;8,26;73,21;28,03;84,21;6,2;52,38;20,22;31,91;0,11;1,33;0;0;0,44;100;0,44;8,11;69,09;3,1;38,1;0,59;50;1,18;0,3;8,26;80,36;0,44;0,3;50;1,03;0;0
Lucas Barros;Tondela;Tondela;LB;24;250000;2025-06-30;20;1683;0;0,1;0;0,54;18,72;55,14;Brazil;Brazil;izquierdo;180;66;si;9,36;7,06;56,82;2,3;55,81;0,32;0,45;0,11;5,03;7;1,6;5;0,27;0;0;3,8;0;0;0;0,01;0;0;5;0,27;20;0;0;3,16;30,51;3,05;31,58;0,05;0;0,37;4,12;64,94;7,75;53,1;0,27;1,6;0,75;1,71;1,34;25,56;73,85;9,14;67,25;4,28;97,5;8,24;72,73;19,3;83,93;3,21;53,33;20,28;30,02;0,03;0,32;0;0;0,16;66,67;0,21;3,16;72,88;2,73;37,25;0,21;25;0,21;0,96;6,04;67,26;0,11;0;0;0,11;0;0
Y. Kalley;IFK Norrköping;IFK Norrköping;LB, LWB;22;250000;2024-06-30;30;1286;0;0,03;0;0,67;24,21;59,25;Sweden;Sweden, Gambia;izquierdo;185;75;no;11,97;10,43;69,8;1,68;50;1,05;1,31;0,28;3,64;4,53;2,03;3;0,21;0;0;4,48;0;0;0;0;0;0;2;0,14;0;0;0;2,52;44,44;2,52;44,44;0;0;0,35;5,39;62,34;9,31;56,39;0,35;1,61;1,05;1,19;2,73;30,86;84,13;8,89;68,5;6,65;98,95;11,55;88,48;25,89;90,54;2,73;56,41;19,1;24,04;0,05;0,42;0;0,07;0,07;0;0,28;3,01;69,77;2,1;43,33;0,07;0;0,35;0,84;4,83;72,46;0;0;0;0;0;0
S. Marcich;Platense;Platense;LB, LW;25;250000;2024-12-31;35;2974;2;2,61;0;2,97;19,16;49,76;Argentina;Argentina;izquierdo;176;74;no;9,53;6,84;65,04;3,33;50;0,39;0,53;0,3;4,69;6,34;0,79;2;0,06;0;0;2,27;0,06;2;0,06;0,08;0;0;25;0,76;28;8;0;2,72;33,33;2,72;33,33;0;0;0,27;2,39;48,1;5,45;38,33;1,3;0,94;0,39;0,91;0,85;24,69;65,56;11,14;61,14;2,78;91,3;6,9;63,16;18,34;73,76;3,72;47,97;19,42;31,48;0,09;0,82;0;0;0,09;0;0,36;3,75;51,61;2,63;42,53;0,27;0;0,39;0,94;6,17;70,59;0,57;0,03;0;0,51;0;0
V. Egeli;Sandefjord;Sandefjord;LB, RB;20;250000;2024-12-31;29;2737;1;1,49;2;4,96;19,93;54,95;Norway;Norway;izquierdo;173;68;no;12,43;8,39;65,1;2,99;47,25;0,49;0,63;0,36;6,48;8,27;0,59;3;0,1;0;0;2,63;0,03;1;0,03;0,05;0;0;29;0,95;17,24;3,448;0,07;2,14;29,23;1,81;23,64;0,3;66,67;0,23;2,17;69,7;5,79;51,14;1,15;1,41;0,3;2,53;1,15;46,82;77,25;19,89;64,96;9,63;96,59;11,08;84,27;37,35;87,06;7,43;41,59;20,06;35,82;0,16;1,05;0,03;0;0,53;62,5;0,33;5,85;58,99;2,04;43,55;0,92;35,71;0,46;0,56;9,57;53,61;0,76;0;0;2,24;0;0
Andre Martins Sousa;Nacional;Nacional;LB;25;225000;2024-06-30;21;1700;0;0,06;3;1,29;14,98;54,06;Portugal;Portugal;izquierdo;174;59;no;10,64;8,05;60,53;3,12;49,15;0,48;0,7;0,37;5,29;7,77;0,79;4;0,21;1;0,05;1,27;0;0;0;0;0;0;3;0,16;0;0;0,16;1,59;60;1,59;60;0;0;0,16;0,48;55,56;1,96;45,95;0,26;0,74;0,32;1,06;0,58;30,86;80,79;12,97;68,57;5,98;95,58;7,15;86,67;25,68;86,19;3,71;51,43;18,91;34,92;0,07;0,58;0;0,11;0,16;33,33;0,53;3,65;66,67;1,27;62,5;0,21;50;0,21;0,85;6,51;65,04;0;0;0;0,05;0;0
J. Kova?ík;Bohemians 1905;Bohemians 1905;LWB, LB;35;225000;2024-06-30;18;1125;2;1,44;4;2,94;11,84;48,65;Czech Republic;Czech Republic;izquierdo;183;80;no;6,8;5,04;73,02;0,96;25;0,64;0,92;0,16;2,48;3,56;1,04;1;0,08;0;0;3,28;0,16;2;0,16;0,12;0;0;14;1,12;35,71;14,286;0,32;4,4;54,55;4,24;52,83;0,16;100;0,48;1,04;46,15;3,52;27,27;1,2;0,56;0,08;2,08;0,88;27,2;74,12;9,76;60,66;6,96;93,1;8,48;77,36;17,52;86,76;5,6;50;23,07;35,56;0,24;1,44;0;0;0;0;0,88;4,08;49,02;4,32;53,7;0,16;0;0,32;2,32;6,64;75,9;0,4;0;0;1,52;0;0
Manel Royo;NAC Breda;NAC Breda;LWB, LB;29;225000;2024-06-30;16;1008;0;0,13;0;1,17;16,09;54,65;Spain;Spain;izquierdo;184;77;no;9,82;9,73;62,5;1,68;50;0,28;0,33;0,09;3,46;4,07;1,68;2;0,18;0;0;3,27;0;0;0;0,01;0;0;7;0,65;14,29;0;0;5,89;44,44;5,89;44,44;0;0;1,03;1,03;54,55;2,34;36;1,31;1,03;0,28;1,59;0,28;40,32;70,07;13,94;54,36;6,74;97,22;14,69;70,7;26,76;82,17;8,33;47,19;23,97;35,09;0,11;0,75;0;0;0;0;0,47;8,42;45,56;5,89;47,62;1,12;33,33;0,56;2,71;10,29;79,09;0,09;0;0;0,47;0;0
Carlos Nieto;Real Zaragoza;Real Zaragoza;LB;27;200000;2025-06-30;5;441;0;0,32;1;1;13,27;58,46;Spain;Spain;izquierdo;181;73;no;7,96;6,12;56,67;1,63;100;0;0;0;4,49;6,29;0,61;1;0,2;0;0;2,45;0;0;0;0,07;0;0;3;0,61;0;0;0,2;3,67;27,78;3,67;27,78;0;0;0,82;2,04;70;3,06;60;0,61;1,63;1,22;1,63;0;35,1;76,74;13,67;64,18;8,16;100;9,8;79,17;26,94;87,12;4,9;50;21,44;32,46;0,2;0,82;0;0,2;0;0;0,41;4,9;66,67;3,06;26,67;0;0;0,2;0,82;7,55;70,27;0,2;0;0;0;0;0
M. Heule;Stade Lausanne-Ouchy;Stade Lausanne-Ouchy;LB;22;200000;2024-06-30;6;413;0;0,06;0;0;19,33;51,43;Switzerland;Switzerland;izquierdo;171;71;no;10,77;8,28;56,67;2,21;50;0,83;1,18;0,28;5,25;7,5;1,66;1;0,22;0;0;0,28;0;0;0;0,02;0;0;2;0,55;0;0;0;1,38;0;1,38;0;0;0;0,28;2,76;10;7,45;48,15;0,83;1,38;1,1;0,55;3,04;30,92;75,89;17,12;67,74;4,69;94,12;5,25;89,47;26,5;84,38;3,04;36,36;19,28;34,15;0;0;0;0;0;0;0;5,52;45;2,21;25;0,55;0;0,55;0;6,07;77,27;0;0;0;0;0;0
M. Koj;Puszcza Niepo?omice;Puszcza Niepo?omice;LB;30;200000;2024-06-30;9;608;0;0,28;0;0,12;16,58;59,82;Poland;Poland;izquierdo;188;81;no;11,99;7,7;65,38;4,14;53,57;0,3;0,37;0,3;6,66;8,23;2,07;1;0,15;0;0;1,48;0;0;0;0,04;0;0;5;0,74;60;0;0;1,33;66,67;1,33;66,67;0;0;0;0,15;100;1,18;87,5;0,89;0,44;0;0,59;1,18;21,76;68,71;10,21;53,62;2,81;94,74;5,77;76,92;16,58;75;3,85;42,31;19,01;29,58;0,02;0,59;0,15;0,15;0,15;0;0,15;4,88;36,36;1,63;45,45;0,15;0;0,15;0,74;6,37;60,47;0;0;0;0,15;0;0
M. Nielsen;Hvidovre;Hvidovre;LB, LWB;22;200000;2024-06-30;6;425;0;0;0;0,82;16,31;55,84;Denmark;Denmark;izquierdo;0;0;no;9,74;8,26;64,1;2,54;25;0;0;0;4,45;5,34;0,85;1;0,21;0;0;1,06;0;0;0;0;0;0;1;0,21;0;0;0;2,96;14,29;2,75;15,38;0,21;0;1,06;1,06;60;2,33;63,64;0;0,85;0;2,54;0,85;41,08;71,13;19,48;65,22;4,87;91,3;10,59;76;31,98;80,79;6,14;48,28;20,56;29,07;0,17;0,42;0,21;0;0;0;0,21;6,78;62,5;2,33;18,18;0,21;0;0;0,42;10,16;62,5;0,64;0;0;1,91;0;0
T. Berger;Austria Lustenau;Austria Lustenau;LB, LWB;22;200000;2025-06-30;11;483;0;0,31;0;0,01;18,26;37,76;Austria;Austria;izquierdo;169;61;no;10,62;10,43;46,43;2,61;35,71;0,75;1;0,19;5,03;6,75;2,05;0;0;0;0;1,49;0;0;0;0,06;0;0;2;0,37;0;0;0;2,05;27,27;1,86;30;0,19;0;0,19;1,49;50;3,17;29,41;0,93;0,37;0,19;1,68;0,37;32,05;73,84;12,3;59,09;6,34;97,06;9,13;75,51;25,16;80;5,03;62,96;19,8;22,99;0;0,37;0;0;0,19;100;0;4,66;56;1,12;33,33;0,19;0;0,19;0,37;8,57;60,87;0,19;0;0;0,93;0;0
N. Tomaševi?;Radnik Surdulica;Radnik Surdulica;LW, LB;24;200000;2024-06-30;17;1118;1;1,63;2;0,68;17,39;51,39;Serbia;Serbia, Bosnia and Herzegovina;izquierdo;184;78;no;7,16;5,55;69,57;2,58;46,88;0,08;0,11;0;3,22;4,53;0,48;0;0;0;0;4,03;0,08;1;0,08;0,13;0;0;16;1,29;31,25;6,25;0,16;5,07;28,57;4,91;29,51;0,16;0;0,81;4,27;50,94;7,33;41,76;1,53;2,33;1,29;1,93;1,45;26,16;66,46;7,57;52,13;7,08;88,64;7,97;56,57;18,68;81,9;3,06;31,58;20,72;34,12;0,05;0,4;0;0;0,08;0;0,24;2,09;69,23;3,62;35,56;0,08;0;0,4;1,29;5,8;58,33;0,08;0,08;0;0,08;0;0
P. ?irkovi?;IMT Novi Beograd;IMT Novi Beograd;LB;24;200000;2024-06-30;19;1662;0;0,32;0;0,28;13,86;50,39;Serbia;Serbia;izquierdo;173;69;no;9,86;7,15;61,36;2,27;52,38;0,38;0,48;0,27;5,09;6,39;0,92;3;0,16;0;0;0,97;0;0;0;0,02;0;0;4;0,22;0;0;0;2,44;24,44;2,38;22,73;0,05;100;0,38;0,76;42,86;2,33;32,56;0,38;0,76;0,22;1,57;0,49;28,54;70,78;13,97;63,18;4,98;95,65;6,01;68,47;20,79;84,11;5,31;39,8;20,99;30,33;0,02;0,11;0,05;0;0,11;50;0,22;4,17;57,14;2,17;30;0,27;60;0,11;0,76;6,5;66,67;0,05;0;0;0,32;0;0
K. Finnsson;Lyngby;Lyngby;LWB, LB;24;200000;2025-06-30;24;2268;2;2,29;1;4,74;15,71;43,94;Iceland;Iceland;izquierdo;181;77;no;7,98;6,31;54,72;1,79;46,67;0,4;0,51;0,16;4,13;5,33;0,87;6;0,24;2;0,08;2,82;0,08;2;0,08;0,09;0;0;21;0,83;23,81;9,524;0,04;3,37;31,76;3,13;31,65;0,24;33,33;0,16;2,7;52,94;5,24;38,64;1,39;1,23;0,24;2,22;0,4;37,86;75,89;11,9;65,33;7,86;96,97;11,75;73,31;29,72;85,71;5;46,83;19,25;34,81;0,19;1,51;0,04;0;0,4;30;0,28;4,84;58,2;3,33;45,24;0,4;50;0,79;0,95;7,18;73,48;1,07;0,16;0;2,58;0;0
Y. Leliendal;Utrecht II;Utrecht II;LB, LDMF;21;200000;2024-06-30;18;1491;0;0,3;1;1,43;22,39;49,6;Belgium;Belgium, Netherlands;izquierdo;169;60;no;11,29;7,12;66,1;2,29;36,84;0,6;0,67;0,24;5,98;6,6;0,78;5;0,3;0;0;2,54;0;0;0;0,02;0;0;9;0,54;44,44;0;0,06;0,91;46,67;0,78;38,46;0,12;100;0,12;2,9;62,5;10,08;43,71;0,3;0,91;0,66;0,66;2,29;35,55;82,51;11,11;67,39;6,64;97,27;11,89;86,8;31,15;87,21;3,62;50;19,47;37,23;0,09;0,6;0;0;0,36;16,67;0,24;4,83;71,25;1,69;50;0,48;37,5;0,72;0,42;6,04;64;0,18;0;0;0,54;0;0
